device,ip,timestamp,host
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.273Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.266Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.284Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.292Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.316Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.316Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.323Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.323Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.323Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.323Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.396Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.396Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.396Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.421Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.421Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.427Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.553Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.553Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.553Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.559Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.559Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.559Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.564Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.564Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.564Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.564Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:48.575Z,Apple Inc. (APPLEC-1-Z)
